2024-12-16 12:53:55,827 - Training started for model: resnet18
2024-12-16 13:05:14,995 - Epoch 76/100, Train Loss: 0.0152, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.4159, Test Acc: 0.3333, Test F1: 0.3290
2024-12-16 13:05:22,927 - Epoch 77/100, Train Loss: 0.0137, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.3776, Test Acc: 0.2976, Test F1: 0.2896
2024-12-16 13:05:30,794 - Epoch 78/100, Train Loss: 0.0156, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4329, Test Acc: 0.3274, Test F1: 0.3075
2024-12-16 13:05:38,736 - Epoch 79/100, Train Loss: 0.0165, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4869, Test Acc: 0.3214, Test F1: 0.3017
2024-12-16 13:05:46,570 - Epoch 80/100, Train Loss: 0.0165, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4767, Test Acc: 0.3274, Test F1: 0.3130
2024-12-16 13:05:54,505 - Epoch 81/100, Train Loss: 0.0143, Train Acc: 0.9771, Train F1: 0.9903 Test Loss: 3.5501, Test Acc: 0.3631, Test F1: 0.3385
2024-12-16 13:06:02,245 - Epoch 82/100, Train Loss: 0.0158, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.4375, Test Acc: 0.3274, Test F1: 0.3101
2024-12-16 13:06:10,212 - Epoch 83/100, Train Loss: 0.0157, Train Acc: 0.9789, Train F1: 0.9918 Test Loss: 3.4191, Test Acc: 0.3274, Test F1: 0.3144
2024-12-16 13:06:18,103 - Epoch 84/100, Train Loss: 0.0150, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.5481, Test Acc: 0.3274, Test F1: 0.2951
2024-12-16 13:06:27,334 - Epoch 85/100, Train Loss: 0.0150, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4814, Test Acc: 0.3214, Test F1: 0.3112
2024-12-16 13:06:37,548 - Epoch 86/100, Train Loss: 0.0150, Train Acc: 0.9780, Train F1: 0.9910 Test Loss: 3.7222, Test Acc: 0.3214, Test F1: 0.2937
2024-12-16 13:06:45,540 - Epoch 87/100, Train Loss: 0.0145, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.5125, Test Acc: 0.3214, Test F1: 0.3092
2024-12-16 13:06:54,599 - Epoch 88/100, Train Loss: 0.0136, Train Acc: 0.9797, Train F1: 0.9929 Test Loss: 3.5372, Test Acc: 0.3631, Test F1: 0.3354
2024-12-16 13:07:02,690 - Epoch 89/100, Train Loss: 0.0136, Train Acc: 0.9806, Train F1: 0.9937 Test Loss: 3.6657, Test Acc: 0.3452, Test F1: 0.3342
2024-12-16 13:07:10,696 - Epoch 90/100, Train Loss: 0.0159, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.5156, Test Acc: 0.3214, Test F1: 0.2984
2024-12-16 13:07:18,678 - Epoch 91/100, Train Loss: 0.0138, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3491, Test Acc: 0.3393, Test F1: 0.3286
2024-12-16 13:07:26,712 - Epoch 92/100, Train Loss: 0.0138, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.4303, Test Acc: 0.3393, Test F1: 0.3302
2024-12-16 13:07:34,796 - Epoch 93/100, Train Loss: 0.0131, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.5239, Test Acc: 0.3155, Test F1: 0.2978
2024-12-16 13:07:43,829 - Epoch 94/100, Train Loss: 0.0132, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.6445, Test Acc: 0.2857, Test F1: 0.2771
2024-12-16 13:07:54,216 - Epoch 95/100, Train Loss: 0.0152, Train Acc: 0.9789, Train F1: 0.9920 Test Loss: 3.4219, Test Acc: 0.3631, Test F1: 0.3289
2024-12-16 13:08:04,474 - Epoch 96/100, Train Loss: 0.0141, Train Acc: 0.9753, Train F1: 0.9883 Test Loss: 3.3726, Test Acc: 0.3393, Test F1: 0.3281
2024-12-16 13:08:14,703 - Epoch 97/100, Train Loss: 0.0153, Train Acc: 0.9780, Train F1: 0.9912 Test Loss: 3.6329, Test Acc: 0.3155, Test F1: 0.2965
2024-12-16 13:08:25,036 - Epoch 98/100, Train Loss: 0.0139, Train Acc: 0.9771, Train F1: 0.9902 Test Loss: 3.5728, Test Acc: 0.3214, Test F1: 0.2982
2024-12-16 13:08:33,591 - Epoch 99/100, Train Loss: 0.0146, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3957, Test Acc: 0.3274, Test F1: 0.2984
2024-12-16 13:08:42,422 - Epoch 100/100, Train Loss: 0.1173, Train Acc: 0.9674, Train F1: 0.9803 Test Loss: 6.1320, Test Acc: 0.1786, Test F1: 0.1355
2024-12-16 13:08:42,499 - Training ended.
Total time: 0:14:46.674614
2024-12-16 13:08:42,499 - 最好的一次：Epoch 81/100, Train Loss: 0.0143, Train Acc: 0.9771, Train F1: 0.9903 Test Loss: 3.5501, Test Acc: 0.3631, Test F1: 0.3385
